Index 	On or around	Voluntary Dismissal	Litigation Name	Ticker	Filing Date	Docket	Class Start Date	Class End Date	SIC Code	Sector	Industry	Headquarter	Jurisdiction	Circuit	Court	Judge	Exchange	Market Status	Case Status	Settlement Amount
101426			GTE Corporation	GTE	05/22/2000	00-CV-03863	07/28/1998	03/29/2000	4813	Services	Communications Services	United States		2nd	S.D. New York	Hon. Harold Baer Jr.	New York SE	Public (Listed)	CASE DISMISSED	0
103723			Banc of America Securities LLC (f/k/a NationsBanc Montgomery Securities LLC) : Just For Feet Bonds		05/24/2000	00-CV-01404	04/12/1999	11/01/1999	5661	Services	Retail (Apparel)	United States		11th	N.D. Alabama	Hon. U. W. Clemon	Undetermined	Unknown	CASE SETTLED	25500000
101424			"Performance Technologies, Inc."	PTIX	05/24/2000	00-CV-6240	02/02/2000	05/19/2000	3672	Technology	Electronic Instruments & Controls	United States	United States	2nd	W.D. New York	Hon. David G. Larimer	NASDAQ	Public (Listed)	CASE SETTLED	1000000
101437			Racing Champions Corporation	RACN	05/30/2000	00-CV-3267	02/01/1999	06/23/1999	3944	Consumer Cyclical	Recreational Products	United States	United States	7th	N.D. Illinois	Hon. Suzanne B. Conlon	NASDAQ	Public (Listed)	CASE SETTLED	1800000
101416			Tesoro Petroleum Corporation	TSO	05/31/2000	00-CV-00541	01/03/2000	05/03/2000	2911	Energy	Oil & Gas Operations	United States		5th	W.D. Texas	Hon. Fred Biery	New York SE	Public (Listed)	CASE DISMISSED	0
103645			"Knight Trading Group, Inc."	NITE	06/02/2000	00-CV-02677			6211	Financial	Investment Services	United States		3rd	D. New Jersey	Hon. Dickinson R. Debevoise	NASDAQ	Public (Listed)	CASE DISMISSED	0
101450			"Profit Recovery Group International, Inc."	PRGX	06/06/2000	00-CV-01416	02/16/2000	03/29/2000	8721	Services	Business Services	United States	United States	11th	N.D. Georgia	Hon. Clarence Cooper	NASDAQ	Public (Listed)	CASE SETTLED	6750000
101411			"Anika Therapeutics, Inc."	ANIK	06/08/2000	00-CV-11127	04/15/1998	05/30/2000	2836	Healthcare	Biotechnology & Drugs	United States	United States	1st	D. Massachusetts	Hon. William G. Young	NASDAQ	Public (Listed)	CASE SETTLED	1250000
101429			UniCapital Corporation	UCP	06/08/2000	00-CV-2054	05/14/1998	05/15/2000	6159	Services	Rental & Leasing	United States		11th	S.D. Florida	Hon. Shelby Highsmith	New York SE	Public (Listed)	CASE SETTLED	5200000
101413			Federal-Mogul Corporation	FMO	06/09/2000	00-CV-40222	10/22/1998	05/25/2000	3714	Consumer Cyclical	Auto & Truck Parts	United States	United States	6th	E.D. Michigan	Hon. Paul V. Gadola	New York SE	Public (Listed)	CASE SETTLED	1500000
101417			"Vari-L Company, Inc."	VARL	06/09/2000	00-CV-1181	12/17/1997	05/17/2000	3669	Technology	Electronic Instruments & Controls	United States	United States	10th	D. Colorado	Hon. Robert E. Blackburn	NASDAQ	Public (Listed)	CASE SETTLED	644000
101458			21st Century Holding Company	TCHC	06/12/2000	00-CV-04333	11/05/1998	08/13/1999	6331	Financial	Insurance (Prop. & Casualty)	United States		2nd	S.D. New York	Hon. Allen G. Schwartz	NASDAQ	Public (Listed)	CASE SETTLED	525000
101430			"Citrix Systems, Inc."	CTXS	06/13/2000	00-CV-6796	10/18/1999	06/09/2000	7372	Technology	Software & Programming	United States		11th	S.D. Florida	Hon. William P. Dimitrouleas	NASDAQ	Public (Listed)	CASE DISMISSED	0
101422			"Columbia Laboratories, Inc."	COB	06/13/2000	00-CV-2112	11/08/1999	06/09/2000	2834	Healthcare	Biotechnology & Drugs	United States		11th	S.D. Florida	Hon. James Lawrence King	American SE	Public (Listed)	CASE DISMISSED	0
101431			"Flooring America, Inc."	FRAE	06/13/2000	00-CV-01483	11/11/1999	05/22/2000	5700	Services	Retail (Specialty)	United States		11th	N.D. Georgia	Hon. Orinda D. Evans	New York SE	Public (Listed)	CASE DISMISSED	0
101425			"Open Market, Inc."	OMKT	06/14/2000	00-CV-11162	11/08/1999	04/18/2000	7372	Technology	Software & Programming	United States		1st	D. Massachusetts	Hon. Nancy Gertner	NASDAQ	Public (Listed)	CASE DISMISSED	0
101484			"Omega Healthcare Investors, Inc."	OHI	06/20/2000	00-CV-04547	04/13/1999	05/11/2000	6798	Services	Real Estate Operations	United States		2nd	S.D. New York	Hon. Miriam Goldman Cedarbaum	New York SE	Public (Listed)	CASE DISMISSED	0
101445			"Steve Madden, Ltd."	SHOO	06/21/2000	00-CV-3676 	11/03/1999	06/20/2000	3144	Consumer Cyclical	Footwear	United States	United States	2nd	E.D. New York	Hon. Raymond J. Dearie	NASDAQ	Public (Listed)	CASE SETTLED	9000000
101448			"Reliance Group Holdings, Inc. : Common Stock and Bonds"	REL	06/22/2000	00-CV-4653	02/08/1999	05/10/2000	6331	Financial	Insurance (Prop. & Casualty)	United States	United States	2nd	S.D. New York	Hon. Allen G. Schwartz	New York SE	Public (Listed)	CASE SETTLED	15000000
101449			"Smith-Gardner & Associates, Inc."	SGAI	06/22/2000	00-CV-8547	10/27/1999	06/16/2000	7372	Technology	Software & Programming	United States		11th	S.D. Florida	Hon. Shelby Highsmith	NASDAQ	Public (Listed)	CASE DISMISSED	0
101455			"American Electric Power Company, Inc."	AEP	06/23/2000	00-CV-3744	07/25/1997	06/25/1999	4911	Utilities	Electric Utilities	United States	United States	2nd	E.D. New York	Hon. I. L. Glasser	New York SE	Public (Listed)	CASE DISMISSED	0
101453			Harmonic Inc.	HLIT	06/28/2000	00-CV-2287	03/27/2000	06/26/2000	3663	Technology	Communications Equipment	United States	United States	9th	N.D. California	Hon. Phyllis J. Hamilton	NASDAQ	Public (Listed)	CASE SETTLED	15000000
103519			"Advanced Equities, Inc. : Pixelon, Inc. Series A Convertible Preferred Stock"		06/30/2000	00-CV-00382	08/09/1999	04/19/2000		Technology	Software & Programming	United States	United States	6th	W.D. Kentucky	Hon. Charles R. Simpson III	Privately Traded	Privately Held	CASE SETTLED	3450000
101460			"Advanced Technical Products, Inc."	ATPX	07/07/2000	00-CV-1702	04/22/1998	03/03/2000	3469	Basic Materials	Misc. Fabricated Products	United States	United States	11th	N.D. Georgia	"Hon. Willis B. Hunt, Jr."	NASDAQ	Public (Listed)	CASE SETTLED	2950000
101457			"Entrust Technologies, Inc."	ENTU	07/07/2000	00-CV-119	04/19/2000	07/03/2000	7371	Technology	Software & Programming	United States		5th	E.D. Texas	Hon. T. John Ward	NASDAQ	Public (Listed)	CASE DISMISSED	0
101459			"FirstWorld Communications, Inc."	VRDO	07/07/2000	00-CV-1376	03/08/2000	07/06/2000	4899	Services	Communications Services	United States	United States	10th	D. Colorado	Hon. Walker D. Miller	NASDAQ	Public (Listed)	CASE SETTLED	25925000
101474			"Visual Networks, Inc."	VNWK	07/07/2000	00-CV-02073	02/07/2000	07/05/2000	7372	Technology	Software & Programming	United States		4th	D. Maryland	Hon. Deborah K. Chasanow	NASDAQ	Public (Listed)	CASE DISMISSED	0
101482			Creditrust Corporation	CRDT	07/14/2000	00-CV-02174	07/29/1998	03/31/2000	7389	Services	Business Services	United States		4th	D. Maryland	Hon. Marvin J. Garbis	NASDAQ	Public (Listed)	CASE SETTLED	7500000
101483			"drkoop.com, Inc."	KOOP	07/14/2000	00-CV-427	06/08/1999	03/30/2000	7375	Technology	Computer Services	United States	United States	5th	W.D. Texas	Hon. James Nowlin	NASDAQ	Public (Listed)	CASE SETTLED	14250000
101489			"Frontier Insurance Group, Inc."	FTR	07/19/2000	00-CV-5361	08/05/1997	04/14/2000	6351	Financial	Insurance (Prop. & Casualty)	United States	United States	2nd	S.D. New York	"Hon. Barrington D. Parker, Jr."	New York SE	Public (Listed)	CASE DISMISSED	0
101487			"Pinnacle Systems, Inc."	PCLE	07/19/2000	00-CV-2596	04/18/2000	07/10/2000	3577	Technology	Computer Hardware	United States	United States	9th	N.D. California	Hon. Maxine M. Chesney	NASDAQ	Public (Listed)	CASE DISMISSED	0
101488			"Anicom, Inc."	ANIC	07/20/2000	00-CV-4391	04/29/1998	07/18/2000	5063	Technology	Computer Hardware	United States	United States	7th	N.D. Illinois	Hon. John W. Darrah	NASDAQ	Public (Listed)	CASE SETTLED	11013750
101491			"Biomatrix, Inc."	BXM	07/21/2000	00-CV-03541	07/20/1999	04/25/2000	2834	Consumer Non-Cyclical	Personal & Household Products	United States	United States	3rd	D. New Jersey	Hon. William G. Bassler	New York SE	Public (Listed)	CASE SETTLED	2450000
101494			CapRock Communications Corporation	CPRK	07/26/2000	00-CV-1613	04/28/2000	07/06/2000	4899	Services	Communications Services	United States	United States	5th	N.D. Texas	Hon. Jerry Buchmeyer	NASDAQ	Public (Listed)	CASE SETTLED	11000000
101493			"Honeywell International, Inc."	HON	07/26/2000	00-CV-03605	12/20/1999	06/19/2000	3724	Conglomerates	Conglomerates	United States	United States	3rd	D. New Jersey	Hon. Dickinson R. Debevoise	New York SE	Public (Listed)	CASE SETTLED	100000000
101505			Avista Corporation	AVA	07/27/2000	00-CV-262	04/07/2000	06/21/2000	4931	Utilities	Electric Utilities	United States		9th	E.D. Washington	Hon. Robert H. Whaley	New York SE	Public (Listed)	CASE DISMISSED	0
101506			"Teleglobe, Inc."	TGO	07/27/2000	00-CV-05610	02/11/1999	07/29/1999	4813	Services	Communications Services	Canada	Canada	2nd	S.D. New York	Hon. Barbara S. Jones	New York SE	Public (Listed)	CASE DISMISSED	0
101510			"Crossroads Systems, Inc."	CRDS	07/28/2000	00-CV-457	07/13/2000	07/26/2000	3577	Technology	Computer Peripherals	United States	United States	5th	W.D. Texas	Hon. James R. Nowlin	NASDAQ	Public (Listed)	CASE SETTLED	4350000
101504			"NBTY, Inc."	NBTY	07/28/2000	00-CV-4402	01/27/2000	06/15/2000	2834	Healthcare	Biotechnology & Drugs	United States		2nd	E.D. New York	Hon. Arthur D. Spatt	NASDAQ	Public (Listed)	CASE DISMISSED	0
101512			MTI Technology Corporation	MTIC	07/31/2000	00-CV-745	01/26/2000	07/27/2000	3572	Technology	Computer Storage Devices	United States	United States	9th	C.D. California	Hon. David O. Carter	NASDAQ	Public (Listed)	CASE SETTLED	6750000
101513			Unify Corporation	UNFY	07/31/2000	00-CV-2728	05/19/1999	07/28/2000	7372	Technology	Software & Programming	United States	United States	9th	N.D. California	Hon. Susan Illston	NASDAQ	Public (Listed)	CASE SETTLED	3400000
101518			"MAX Internet Communications, Inc."	MXIP	08/01/2000	00-CV-01662	11/15/1999	05/12/2000	7379	Technology	Computer Services	United States	United States	5th	N.D. Texas	Hon. A. Joe Fish	NASDAQ	Public (Listed)	CASE SETTLED	3700000
101517			"Southwall Technologies, Inc."	SWTX	08/04/2000	00-CV-2792	04/26/2000	08/01/2000	3081	Basic Materials	Fabricated Plastic & Rubber	United States	United States	9th	N.D. California	Hon. Maxine M. Chesney	NASDAQ	Public (Listed)	CASE SETTLED	4200000
101519			"Lernout & Hauspie Speech Products, N.V."	LHSPQ	08/09/2000	00-CV-11589	02/09/2000	08/07/2000	7372	Technology	Software & Programming	United States	Belgium	1st	D. Massachusetts	Hon. Patti B. Saris	NASDAQ	Public (Listed)	CASE SETTLED	120520000
101522			"NAHC, Inc. (f/k/a Novacare, Inc. )"	NOV	08/09/2000	00-CV-04020	12/28/1999	08/07/2000	8093	Healthcare	Healthcare Facilities	United States		3rd	E.D. Pennsylvania	Hon. Lowell A. Reed Jr.	New York SE	Public (Listed)	CASE DISMISSED	0
101521			"Xcelera.com, Inc."	XLA	08/11/2000	00-CV-01537	04/01/1999	07/31/2000	4899	Services	Communications Services	Cayman Islands	Cayman Islands	2nd	D. Connecticut	Hon. Stefan R. Underhill	American SE	Public (Listed)	CASE DISMISSED	0
102534			Laidlaw Inc. : Bonds		08/14/2000	00-CV-02518	09/24/1997	03/13/2000	4100	Transportation	Misc. Transportation	Canada		4th	D. South Carolina	Hon. Joseph F. Anderson Jr.	New York SE	Public (Listed)	CASE SETTLED	42875000
101528			"Acrodyne Communications, Inc."	ACROE	08/16/2000	00-CV-2490	05/18/1999	08/14/2000	3663	Technology	Communications Equipment	United States	United States	4th	D. Maryland	Hon. Benson E. Legg	NASDAQ	Public (Listed)	CASE SETTLED	2350000
101527			TenFold Corporation	TENF	08/16/2000	00-CV-00652	01/18/2000	08/14/2000	7371	Technology	Software & Programming	United States	United States	10th	D. Utah	Hon. J. Thomas Greene	NASDAQ	Public (Listed)	CASE SETTLED	5900000
101523			California Software Corporation	CAWC	08/17/2000	00-CV-00810	02/09/2000	08/06/2000	7372	Technology	Software & Programming	United States	United States	9th	C.D. California	Hon. AliceMarie H. Stotler	OTC-BB	Public (Listed)	CASE SETTLED	1180000
101535			"CDnow, Inc."	CDNW	08/22/2000	00-CV-04290	01/28/2000	03/28/2000	5735	Services	Retail (Specialty)	United States		3rd	E.D. Pennsylvania	Hon. Marvin Katz	NASDAQ	Public (Listed)	CASE DISMISSED	0
101533			"Warnaco Group, Inc. (2000)"	WAC	08/22/2000	00-CV-6266	12/11/1997	07/20/2000	2341	Consumer Cyclical	Apparel/Accessories	United States	United States	2nd	S.D. New York	Hon. Lawrence M. McKenna	New York SE	Public (Listed)	CASE SETTLED	12850000
101530			"Fidelity Holdings, Inc."	FDHG	08/23/2000	00-CV-5078	11/15/1999	04/12/2000	6719	Financial	Misc. Financial Services	United States	United States	2nd	E.D. New York	Hon. Charles P. Sifton	NASDAQ	Public (Listed)	CASE SETTLED	4450000
101531			"Mercator Software, Inc."	MCTR	08/23/2000	00-CV-01610	04/20/2000	08/21/2000	7372	Technology	Software & Programming	United States	United States	2nd	D. Connecticut	Hon. Gerard L. Goettel	NASDAQ	Public (Listed)	CASE SETTLED	8200000
101532			Scientific Learning Corporation	SCIL	08/23/2000	00-CV-3014	05/01/2000	07/11/2000	8200	Technology	Software & Programming	United States		9th	N.D. California	Hon. Samuel Conti	NASDAQ	Public (Listed)	CASE DISMISSED	0
101534			"Federated Department Stores, Inc."	FD	08/24/2000	00-CV-6362	02/23/2000	07/20/2000	5311	Services	Retail (Department & Discount)	United States		2nd	S.D. New York	Hon. Richard C. Casey	NASDAQ	Public (Listed)	CASE DISMISSED	0
101711			Xerox Corporation	XRX	08/24/2000	00-CV-01621	01/25/2000	07/27/2000	3861	Consumer Cyclical	Photography	United States	United States	2nd	D. Connecticut	Hon. Janet C. Hall	New York SE	Public (Listed)	CASE SETTLED	750000000
101542			GTECH Holdings Corporation	GTK	08/25/2000	00-CV-00413	04/11/2000	07/25/2000	7379	Technology	Computer Services	United States	United States	1st	D. Rhode Island	Hon. Ronald R. Lagueux	New York SE	Public (Listed)	CASE SETTLED	10250000
101631			Peerless Systems Corporation	PRLS	08/28/2000	00-CV-1725	06/11/1999	05/25/2000	5045	Technology	Computer Hardware	United States		9th	S.D. California	Hon. M. J. Lorenz	NASDAQ	Public (Listed)	CASE DISMISSED	0
101035			Chubb Corporation	CB	08/31/2000	00-CV-4285	04/27/1999	10/15/1999	6331	Financial	Insurance (Prop. & Casualty)	United States		3rd	D. New Jersey	"Hon. Garrett E. Brown, Jr."	New York SE	Public (Listed)	CASE DISMISSED	0
101541			"Internet Wire, Inc. and Bloomberg, L.P. : Emulex Corporation common stock or call options"	EMLX	08/31/2000	00-CV-06571	08/25/2000	08/25/2000	3576	Technology	Computer Peripherals	United States	United States	2nd	S.D. New York	Hon. Milton Pollack	NASDAQ	Public (Listed)	CASE DISMISSED	0
101543			"DT Industries, Inc."	DTII	09/01/2000	00-CV-03369	09/29/1997	08/23/2000	3559	Capital Goods	Misc. Capital Goods	United States		8th	W.D. Missouri	Hon. Dean Whipple	NASDAQ	Public (Listed)	CASE DISMISSED	0
101544			"Gliatech, Inc."	GLIA	09/05/2000	00-CV-2236	04/09/1998	08/29/2000	2836	Healthcare	Biotechnology & Drugs	United States	United States	6th	N.D. Ohio	Hon. Paul R. Matia	NASDAQ	Public (Listed)	CASE SETTLED	4500000
101582			"Independent Energy Holdings, PLC"	INDYY	09/06/2000	00-CV-06689	02/14/2000	09/06/2000	4911	Utilities	Electric Utilities	United Kingdom	United Kingdom	2nd	S.D. New York	Hon. Shira A. Scheindlin	NASDAQ	Public (Listed)	CASE SETTLED	48000000
101548			"Crayfish Co., Ltd."	CRFH	09/08/2000	00-CV-06766	03/08/2000	08/22/2000	7375	Technology	Computer Services	Japan	Japan	2nd	S.D. New York	Hon. Deborah A. Batts	NASDAQ	Public (Listed)	CASE SETTLED	9000000
101723			"eVision USA.com, Inc."	EVISE	09/08/2000	00-CV-06769	05/26/1998	09/08/2000	6211	Financial	Investment Services	United States	United States	2nd	S.D. New York	Hon. John S. Martin	OTC-BB	Public (Listed)	CASE DISMISSED	0
101545			"iXL Enterprises, Inc."	IIXL	09/08/2000	00-CV-02347	02/02/2000	09/01/2000	7379	Technology	Computer Services	United States	United States	11th	N.D. Georgia	Hon. Clarence Cooper	NASDAQ	Public (Listed)	CASE SETTLED	2500000
101546			"NetSolve, Inc."	NTSL	09/11/2000	00-CV-591	04/18/2000	08/18/2000	7373	Technology	Computer Services	United States	United States	5th	W.D. Texas	Hon. Sam Sparks	NASDAQ	Public (Listed)	CASE SETTLED	2750000
101642			"Nx Networks, Inc."	NXWX	09/13/2000	00-CV-11850	12/08/1999	04/24/2000	7373	Technology	Computer Networks	United States	United States	1st	D. Massachusetts	Hon. Joseph L. Tauro	NASDAQ	Public (Listed)	CASE SETTLED	6300000
101549			"Plug Power, Inc."	PLUG	09/14/2000	00-CV-05553	02/14/2000	08/02/2000	3629	Technology	Electronic Instruments & Controls	United States	United States	2nd	E.D. New York	Hon. Edward R. Korman	NASDAQ	Public (Listed)	CASE SETTLED	5000000
101555			"MP3.com, Inc."	MPPP	09/19/2000	00-CV-1873	01/13/2000	09/07/2000	7375	Consumer Cyclical	Recreational Products	United States	United States	9th	S.D. California	Hon. Judith N. Keep	NASDAQ	Public (Listed)	CASE SETTLED	40391000
101592			Mpower Communications Corporation	MPWR	09/20/2000	00-CV-06463	02/20/2000	09/07/2000	4813	Services	Communications Services	United States	United States	2nd	W.D. New York	Hon. Michael A. Telesca	NASDAQ	Public (Listed)	CASE SETTLED	1300000
101724			OHSL Financial Corporation	OHSL	09/20/2000	00-CV-00793	09/27/1999	12/03/1999	6035	Financial	Investment Services	United States	United States	6th	S.D. Ohio	Hon. Sandra S. Beckwith	NASDAQ	Public (Listed)	CASE DISMISSED	0
101580			Ford Motor Company	F	09/22/2000	00-CV-74233	01/21/1999	08/09/2000	3711	Consumer Cyclical	Auto & Truck Manufacturers	United States	United States	6th	E.D. Michigan	Hon. Avern Cohn	New York SE	Public (Listed)	CASE DISMISSED	0
101581			"ICG Communications, Inc."	ICGXQ	09/22/2000	00-CV-01864	12/20/1999	09/18/2000	4813	Services	Communications Services	United States	United States	10th	D. Colorado	Hon. Daniel B. Sparr	NASDAQ	Public (Listed)	CASE SETTLED	18000000
101589			"OfficeMax, Inc."	OMX	09/22/2000	00-CV-02432	03/02/1999	09/30/1999	5943	Services	Retail (Specialty)	United States	United States	6th	N.D. Ohio	Hon. Kathleen M. O'Malley	New York SE	Public (Listed)	CASE DISMISSED	0
101579			Allaire Corporation	ALLR	09/25/2000	00-CV-11972	07/20/2000	09/18/2000	7372	Technology	Software & Programming	United States	United States	1st	D. Massachusetts	Hon. William G. Young	NASDAQ	Public (Listed)	CASE SETTLED	12026000
101596			"Revlon, Inc."	REV	09/27/2000	00-CV-07291	10/02/1998	09/30/1999	2844	Consumer Non-Cyclical	Personal & Household Products	United States	United States	2nd	S.D. New York	Hon. Sidney H. Stein	New York SE	Public (Listed)	CASE DISMISSED	0
101591			"Insurance Management Solutions Group, Inc."	INMG	09/28/2000	00-CV-02013	02/11/1999	10/28/1999	6411	Financial	Insurance (Miscellaneous)	United States	United States	11th	M.D. Florida	Hon. Richard A. Lazzara	NASDAQ	Public (Listed)	CASE SETTLED	2100000
101593			Priceline.com Inc.	PCLN	10/02/2000	00-CV-01884	07/24/2000	09/26/2000	7373	Technology	Computer Services	United States		2nd	D. Connecticut	Hon. Dominic J. Squatrito	NASDAQ	Public (Listed)	CASE SETTLED	80000000
101603			"Ramp Networks, Inc."	RAMP	10/03/2000	00-CV-3645	11/15/1999	09/29/2000	7372	Technology	Software & Programming	United States	United States	9th	N.D. California	Magistrate Judge Joseph C. Spero	NASDAQ	Public (Listed)	CASE SETTLED	6900000
101643			"Paradyne Networks, Inc."	PDYN	10/05/2000	00-CV-02057	09/28/1999	09/28/2000	3661	Technology	Communications Equipment	United States	United States	11th	M.D. Florida	Hon. Elizabeth A.Kovachevich	NASDAQ	Public (Listed)	CASE SETTLED	3000000
101594			Azurix Corporation	AZX	10/06/2000	00-CV-03493	06/09/1999	08/08/2000	4941	Utilities	Water Utilities	United States		5th	S.D. Texas	Hon. Nancy F. Atlas	New York SE	Public (Listed)	CASE DISMISSED	0
101598			"Interspeed, Inc."	ISPDE	10/10/2000	00-CV-12090	02/03/2000	10/06/2000	3661	Technology	Communications Equipment	United States		1st	D. Massachusetts	Hon. Edward F. Harrington	NASDAQ	Public (Listed)	CASE SETTLED	7500000
101599			"Aspeon, Inc."	ASPEE	10/11/2000	00-CV-00995	10/28/1999	09/28/2000	7373	Technology	Computer Hardware	United States		9th	C.D. California	Hon. Alicemarie H. Stotler	NASDAQ	Public (Listed)	CASE DISMISSED	0
101600			"Mitek Systems, Inc."	MITK	10/11/2000	00-CV-2028	07/18/2000	09/29/2000	7372	Technology	Software & Programming	United States	United States	9th	S.D. California	Hon. Napoleon A. Jones	NASDAQ	Public (Listed)	CASE SETTLED	2000000
101616			"Prime Retail, Inc."	PRT	10/13/2000	00-CV-03080	05/28/1999	01/18/2000	6798	Services	Real Estate Operations	United States		4th	D. Maryland	Hon. J. F. Motz	New York SE	Public (Listed)	CASE DISMISSED	0
101615			"Pilot Network Services, Inc."	PILT	10/18/2000	00-CV-3862	04/27/2000	10/17/2000	7382	Services	Security Systems & Services	United States	United States	9th	N.D. California	Hon. Phyllis J. Hamilton	NASDAQ	Public (Listed)	CASE SETTLED	6500000
101613			"Copper Mountain Networks, Inc."	CMTN	10/20/2000	00-CV-3894	04/19/2000	10/17/2000	3661	Technology	Communications Equipment	United States	United States	9th	N.D. California	Hon. Maria-Elena James	NASDAQ	Public (Listed)	CASE DISMISSED	0
101595			Covad Communications : Common Stock and Convertible Senior Notes	COVD	10/20/2000	00-CV-3891	09/07/2000	10/17/2000	4813	Services	Communications Services	United States	United States	9th	N.D. California	Hon. Phyllis J. Hamilton	NASDAQ	Public (Listed)	CASE SETTLED	16500000
101619			"Sagent Technology, Inc. (2000)"	SGNT	10/20/2000	01-CV-20081	10/21/1999	04/18/2000	7372	Technology	Software & Programming	United States	United States	9th	N.D. California	Hon. William H. Orrick	NASDAQ	Public (Listed)	CASE SETTLED	6000000
101621			"Sonic Innovations, Inc."	SNCI	10/25/2000	00-CV-848	05/02/2000	10/24/2000	3845	Healthcare	Medical Equipment & Supplies	United States	United States	10th	D. Utah	Hon. Dee Benson	NASDAQ	Public (Listed)	CASE SETTLED	7000000
101614			marchFIRST Inc.	MRCH	10/26/2000	00-CV-06676	07/25/2000	10/23/2000	8742	Technology	Computer Services	United States	United States	7th	N.D. Illinois	Hon. John F. Grady	NASDAQ	Public (Listed)	CASE SETTLED	18000000
101608			AT&T Corporation	T	10/27/2000	00-CV-5364	10/25/1999	05/01/2000	4813	Services	Communications Services	United States		3rd	D. New Jersey	"Hon. Garrett E. Brown, Jr."	New York SE	Public (Listed)	CASE SETTLED	200000000
101721			The Coca-Cola Company	KO	10/27/2000	00-CV-2838	10/21/1999	03/06/2000	2086	Consumer Non-Cyclical	Beverages (Non-Alcoholic)	United States	United States	11th	N.D. Georgia	Hon. Jack T. Camp	New York SE	Public (Listed)	CASE SETTLED	137500000
101624			"USEC, Inc."	USU	10/27/2000	00-CV-333	07/23/1998	12/02/1999	1400	Basic Materials	Non-Metallic Mining	United States		6th	W.D. Kentucky	Hon. Edward H. Johnstone	New York SE	Public (Listed)	CASE DISMISSED	0
101629			"Westell Technologies, Inc."	WSTL	10/27/2000	00-CV-6735 	06/27/2000	10/18/2000	3661	Technology	Communications Equipment	United States	United States	7th	N.D. Illinois	Hon. George W. Lindberg	NASDAQ	Public (Listed)	CASE SETTLED	3350000
101612			Clarus Corporation	CLRS	10/30/2000	00-CV-2841	01/31/2000	10/25/2000	7372	Technology	Software & Programming	United States	United States	11th	N.D. Georgia	Hon. Charles A. Pannell	NASDAQ	Public (Listed)	CASE SETTLED	4500000
101720			Edison International	EIX	10/30/2000	00-CV-11516	06/01/2000	10/30/2000	4911	Utilities	Electric Utilities	United States		9th	C.D. California	Hon. A. H. Matz	New York SE	Public (Listed)	CASE DISMISSED	0
101610			"Allscripts, Inc."	MDRX	10/31/2000	00-CV-06796	07/27/2000	10/26/2000	5122	Services	Retail (Drugs)	United States		7th	N.D. Illinois	Hon. Charles P. Kocoras	NASDAQ	Public (Listed)	CASE DISMISSED	0
101618			"Rent-Way, Inc."	RWY	10/31/2000	00-CV-323	01/18/2000	10/27/2000	7359	Services	Rental & Leasing	United States		3rd	W.D. Pennsylvania	Hon. Sean J. McLaughlin	New York SE	Public (Listed)	CASE SETTLED	25000000
101609			"Alpharma, Inc."	ALO	11/03/2000	00-CV-05452	04/28/1999	10/30/2000	2834	Healthcare	Biotechnology & Drugs	United States		3rd	D. New Jersey	Hon. Nicholas H. Politan	New York SE	Public (Listed)	CASE DISMISSED	0
101617			"PSINet, Inc."	PSIX	11/03/2000	00-CV-1850	08/03/2000	11/02/2000	7373	Technology	Computer Networks	United States	United States	4th	E.D. Virginia	Hon. Claude M. Hilton	NASDAQ	Public (Listed)	CASE SETTLED	17833000
101628			CompuCredit Corporation	CCRT	11/06/2000	00-CV-02930	09/12/2000	10/25/2000	6141	Financial	Consumer Financial Services	United States		11th	N.D. Georgia	Hon. Clarence Cooper	NASDAQ	Public (Listed)	CASE DISMISSED	0
101634			"Knight Trading Group, Inc."	NITE	11/07/2000	00-CV-05506	07/19/2000	10/04/2000	6211	Financial	Investment Services	United States		3rd	D. New Jersey	Magistrate Judge Ronald J. Hedges	NASDAQ	Public (Listed)	CASE DISMISSED	0
101630			"MCI WorldCom Inc. and Intermedia Communications, Inc. common stock"	WCOM	11/07/2000	00-CV-00833	04/13/2000	11/01/2000	4813	Services	Communications Services	United States	United States	5th	S.D. Mississippi	Hon. William H. Barbour Jr.	NASDAQ	Public (Listed)	CASE DISMISSED	0
101717			Coram Healthcare Corporation	CRHEQ	11/08/2000	00-CV-05509	08/08/2000	11/08/2000	8082	Healthcare	Healthcare Facilities	United States		3rd	D. New Jersey	Magistrate Judge Ronald J. Hedges	OTC-BB	OTC	CASE DISMISSED	0
101641			Del Global Technologies Corporation	DGTCE	11/08/2000	00-CV-08495	12/07/1999	11/06/2000	3679	Technology	Electronic Instruments & Controls	United States	United States	2nd	S.D. New York	Hon. Colleen McMahon	NASDAQ	Public (Listed)	CASE SETTLED	6000000
101639			"Heartland Financial USA, Inc. : Heartland High-Yield Municipal Bond Funds"		11/13/2000	00-CV-1388	11/18/1997	10/16/2000	6282	Financial	Other (Mutual Fund)	United States	United States	7th	E.D. Wisconsin	Hon. J P Stadtmueller			CASE SETTLED	23250000
101635			Quintus Corporation	QNTS	11/15/2000	00-CV-4263	11/15/1999	11/14/2000	7372	Technology	Software & Programming	United States		9th	N.D. California	Hon. Vaughn R. Walker	NASDAQ	Public (Listed)	CASE SETTLED	10100000
101678			AT&T Corporation : AT&T Wireless Group Tracking Stock	AWE	11/16/2000	00-CV-08754	04/26/2000	05/02/2000	4813	Services	Communications Services	United States	United States	2nd	S.D. New York	Hon. Sidney H. Stein	New York SE	Public (Listed)	CASE SETTLED	150000000
